business_postal_code,Population
94124,33996
94110,69333
94114,31124
94108,13768
94134,40798
94111,3713
94117,39169
94122,56023
94132,28129
94123,23088
94110,69333
94109,55984
94114,31124
94133,26237
94112,79407
94121,41203
94115,33021
94107,26599
94129,3183
94118,38319
94133,26237
94102,31176
94121,41203
94103,27170
94130,2880
94131,26881
94134,40798
94127,19289
94115,33021
